,rho,p,adjusted_p,class
Nfu_g_1_000278,-0.0666794859469826,0.751485408877604,0.882074024706015,Not-significant
Nfu_g_1_000279,-0.101980390271856,0.62763037393172,0.813497629207249,Not-significant
Nfu_g_1_000283,0.0588348405414552,0.779972051548535,0.89869105334819,Not-significant
Nfu_g_1_000286,-0.274562589193458,0.184103649838659,0.440541672603542,Not-significant
Nfu_g_1_000287,-0.392232270276368,0.0524673136453784,0.221233451451938,Not-significant
Nfu_g_1_000291,-0.215727748652002,0.300353651353564,0.568846393589921,Not-significant
Nfu_g_1_000292,0.373063628069308,0.0662429874108124,0.253887230803046,Not-significant
Nfu_g_1_000297,-0.22357239405753,0.282686521221275,0.551514223032413,Not-significant
Nfu_g_1_000298,-0.0666794859469826,0.751485408877604,0.882074024706015,Not-significant
Nfu_g_1_000299,0.0784464540552736,0.709351883365135,0.858657196709642,Not-significant
Nfu_g_1_000300,-0.243184007571348,0.24145533685971,0.508086840718384,Not-significant
Nfu_g_1_000304,0.160069669360767,0.444675385992186,0.692268405309751,Not-significant
Nfu_g_1_000307,0.219650071354766,0.29143613014406,0.560419292372887,Not-significant
Nfu_g_1_000308,-0.466756401628878,0.018664783146088,0.12521959119471,Not-significant
Nfu_g_1_000309,0.129436649191201,0.537463757474272,0.759624643105486,Not-significant
Nfu_g_1_000313,0.0627571632442189,0.765691771946654,0.888851894121298,Not-significant
Nfu_g_1_000315,-0.011766968108291,0.955481654680904,0.978590978422023,Not-significant
Nfu_g_1_000317,-0.364776011357022,0.0729949735827243,0.267297558474211,Not-significant
Nfu_g_1_000319,-0.0353009043248731,0.866960958554899,0.94258461030508,Not-significant
Nfu_g_1_000322,-0.101980390271856,0.62763037393172,0.813497629207249,Not-significant
Nfu_g_1_000338,-0.356931365951495,0.0798582399000738,0.280310059925552,Not-significant
Nfu_g_1_000339,-0.231417039463057,0.265691154365466,0.534565207839067,Not-significant
Nfu_g_1_000341,0.190661824523086,0.361286071978306,0.625761875062583,Not-significant
Nfu_g_1_000342,0.152970585407784,0.46538490775331,0.706418359517088,Not-significant
Nfu_g_1_000344,-0.0866249154053974,0.680540510753064,0.845755338055262,Not-significant
Nfu_g_1_000349,-0.439300142709532,0.0280110976668,0.155933689202428,Not-significant
Nfu_g_1_000352,-0.184670352286048,0.376849954988513,0.63746891739604,Not-significant
Nfu_g_1_000354,0.235339362165821,0.257445183041084,0.52652720717319,Not-significant
Nfu_g_1_000355,-0.180426844327129,0.388102670136387,0.647534830507067,Not-significant
