FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A19_B003262,nan,nan,nan,facs,18_45_M,A19_B003262_B007459_S19.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A19_B003263,nan,nan,nan,facs,18_45_M,A19_B003263_B007458_S19.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A19_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A19_B003294_B007450_S19.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A19_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A19_D045342_B009019_S19.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A19_D045382,basal cell of epidermis,nan,nan,facs,18_45_M,A19_D045382_B009006_S19.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A1_B000235,nan,nan,nan,facs,18_53_M,A1_B000235_B007504_S1.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A1_B000497,nan,nan,nan,facs,18_53_M,A1_B000497_B009023_S1.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A1_B000524,basal epithelial cell of tracheobronchial tree,nan,nan,facs,18_53_M,A1_B000524_B009242_S1.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A1_B000756,pancreatic B cell,nan,pancreatic B cell,facs,18_45_M,A1_B000756_B007446_S1.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A1_B000802,basal cell of epidermis,nan,nan,facs,18_47_F,A1_B000802_B009022_S1.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A1_B000927,mesenchymal stem cell,nan,nan,facs,18_46_F,A1_B000927_B007456_S1.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A1_B001059,nan,nan,nan,facs,18_46_F,A1_B001059_B009342_S1.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A1_B001361,B cell,nan,B cell,facs,18_46_F,A1_B001361_B007505_S1.mm10-plus-0-0,female,RV,Heart
Viable,18m,A1_B002452,"CD8-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,A1_B002452_B009020_S1.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A1_B002831,nan,nan,nan,facs,18_47_F,A1_B002831_B007445_S1.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A1_B002832,nan,nan,nan,facs,18_47_F,A1_B002832_B007443_S1.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A1_B002850,basal cell of epidermis,nan,nan,facs,18_47_F,A1_B002850_B007342_S1.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A1_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A1_B003262_B007459_S1.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A1_B003263,nan,nan,nan,facs,18_45_M,A1_B003263_B007458_S1.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A1_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A1_B003294_B007450_S1.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A1_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A1_D045342_B009019_S1.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A1_D045382,basal cell of epidermis,nan,nan,facs,18_45_M,A1_D045382_B009006_S1.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A20_B000235,nan,nan,nan,facs,18_53_M,A20_B000235_B007504_S20.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A20_B000497,nan,nan,nan,facs,18_53_M,A20_B000497_B009023_S20.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A20_B000524,fibroblast,nan,nan,facs,18_53_M,A20_B000524_B009242_S20.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A20_B000756,pancreatic B cell,nan,pancreatic B cell,facs,18_45_M,A20_B000756_B007446_S20.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A20_B000802,nan,nan,nan,facs,18_47_F,A20_B000802_B009022_S20.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A20_B000927,T cell,nan,nan,facs,18_46_F,A20_B000927_B007456_S20.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A20_B001059,nan,nan,nan,facs,18_46_F,A20_B001059_B009342_S20.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A20_B001361,B cell,nan,B cell,facs,18_46_F,A20_B001361_B007505_S20.mm10-plus-0-0,female,RV,Heart
Viable,18m,A20_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A20_B002452_B009020_S20.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A20_B002831,nan,nan,nan,facs,18_47_F,A20_B002831_B007445_S20.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A20_B002832,endothelial cell,nan,nan,facs,18_47_F,A20_B002832_B007443_S20.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A20_B002850,bulge keratinocyte,nan,inner bulge,facs,18_47_F,A20_B002850_B007342_S20.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A20_B003262,nan,nan,nan,facs,18_45_M,A20_B003262_B007459_S20.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A20_B003263,nan,nan,nan,facs,18_45_M,A20_B003263_B007458_S20.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A20_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A20_B003294_B007450_S20.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A20_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A20_D045342_B009019_S20.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A20_D045382,keratinocyte,nan,suprabasal,facs,18_45_M,A20_D045382_B009006_S20.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A21_B000235,nan,nan,nan,facs,18_53_M,A21_B000235_B007504_S21.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A21_B000497,nan,nan,nan,facs,18_53_M,A21_B000497_B009023_S21.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A21_B000524,fibroblast,nan,nan,facs,18_53_M,A21_B000524_B009242_S21.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A21_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A21_B000756_B007446_S21.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A21_B000802,nan,nan,nan,facs,18_47_F,A21_B000802_B009022_S21.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A21_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A21_B000927_B007456_S21.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A21_B001059,nan,nan,nan,facs,18_46_F,A21_B001059_B009342_S21.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A21_B001361,B cell,nan,B cell,facs,18_46_F,A21_B001361_B007505_S21.mm10-plus-0-0,female,RV,Heart
Viable,18m,A21_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A21_B002452_B009020_S21.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A21_B002831,nan,nan,nan,facs,18_47_F,A21_B002831_B007445_S21.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A21_B002832,leukocyte,nan,nan,facs,18_47_F,A21_B002832_B007443_S21.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A21_B002850,bulge keratinocyte,nan,inner bulge,facs,18_47_F,A21_B002850_B007342_S21.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A21_B003262,nan,nan,nan,facs,18_45_M,A21_B003262_B007459_S21.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A21_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A21_B003263_B007458_S21.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A21_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A21_B003294_B007450_S21.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A21_D045342,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_45_M,A21_D045342_B009019_S21.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A21_D045382,keratinocyte,nan,suprabasal,facs,18_45_M,A21_D045382_B009006_S21.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A22_B000235,nan,nan,nan,facs,18_53_M,A22_B000235_B007504_S22.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A22_B000497,nan,nan,nan,facs,18_53_M,A22_B000497_B009023_S22.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A22_B000524,fibroblast,nan,nan,facs,18_53_M,A22_B000524_B009242_S22.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A22_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A22_B000756_B007446_S22.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A22_B000802,basal cell of epidermis,nan,nan,facs,18_47_F,A22_B000802_B009022_S22.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A22_B000927,T cell,nan,nan,facs,18_46_F,A22_B000927_B007456_S22.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A22_B001059,nan,nan,nan,facs,18_46_F,A22_B001059_B009342_S22.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A22_B001361,B cell,nan,B cell,facs,18_46_F,A22_B001361_B007505_S22.mm10-plus-0-0,female,RV,Heart
Viable,18m,A22_B002452,B cell,nan,nan,facs,18_47_F,A22_B002452_B009020_S22.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A22_B002831,nan,nan,nan,facs,18_47_F,A22_B002831_B007445_S22.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A22_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,A22_B002832_B007443_S22.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A22_B002850,bulge keratinocyte,nan,inner bulge,facs,18_47_F,A22_B002850_B007342_S22.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A22_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A22_B003262_B007459_S22.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A22_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A22_B003263_B007458_S22.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A22_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A22_B003294_B007450_S22.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A22_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A22_D045342_B009019_S22.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A22_D045382,basal cell of epidermis,nan,basal,facs,18_45_M,A22_D045382_B009006_S22.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A2_B000235,nan,nan,nan,facs,18_53_M,A2_B000235_B007504_S2.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A2_B000497,nan,nan,nan,facs,18_53_M,A2_B000497_B009023_S2.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A2_B000524,nan,nan,nan,facs,18_53_M,A2_B000524_B009242_S2.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A2_B000756,nan,nan,nan,facs,18_45_M,A2_B000756_B007446_S2.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A2_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,A2_B000802_B009022_S2.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A2_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A2_B000927_B007456_S2.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A2_B001059,nan,nan,nan,facs,18_46_F,A2_B001059_B009342_S2.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A2_B001361,B cell,nan,B cell,facs,18_46_F,A2_B001361_B007505_S2.mm10-plus-0-0,female,RV,Heart
Viable,18m,A2_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A2_B002452_B009020_S2.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A2_B002831,nan,nan,nan,facs,18_47_F,A2_B002831_B007445_S2.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A2_B002832,nan,nan,nan,facs,18_47_F,A2_B002832_B007443_S2.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A2_B002850,basal cell of epidermis,nan,nan,facs,18_47_F,A2_B002850_B007342_S2.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A2_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A2_B003262_B007459_S2.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A2_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A2_B003263_B007458_S2.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A2_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A2_B003294_B007450_S2.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A2_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A2_D045342_B009019_S2.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A2_D045382,nan,nan,nan,facs,18_45_M,A2_D045382_B009006_S2.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A3_B000235,nan,nan,nan,facs,18_53_M,A3_B000235_B007504_S3.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A3_B000497,nan,nan,nan,facs,18_53_M,A3_B000497_B009023_S3.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A3_B000524,nan,nan,nan,facs,18_53_M,A3_B000524_B009242_S3.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A3_B000756,nan,nan,nan,facs,18_45_M,A3_B000756_B007446_S3.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A3_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,A3_B000802_B009022_S3.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A3_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A3_B000927_B007456_S3.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A3_B001059,nan,nan,nan,facs,18_46_F,A3_B001059_B009342_S3.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A3_B001361,B cell,nan,B cell,facs,18_46_F,A3_B001361_B007505_S3.mm10-plus-0-0,female,RV,Heart
Viable,18m,A3_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A3_B002452_B009020_S3.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A3_B002831,nan,nan,nan,facs,18_47_F,A3_B002831_B007445_S3.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A3_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,A3_B002832_B007443_S3.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A3_B002850,basal cell of epidermis,nan,nan,facs,18_47_F,A3_B002850_B007342_S3.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A3_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A3_B003262_B007459_S3.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A3_B003263,nan,nan,nan,facs,18_45_M,A3_B003263_B007458_S3.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A3_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A3_B003294_B007450_S3.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A3_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A3_D045342_B009019_S3.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A3_D045382,basal cell of epidermis,nan,nan,facs,18_45_M,A3_D045382_B009006_S3.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A4_B000235,epithelial cell of thymus,nan,TECs,facs,18_53_M,A4_B000235_B007504_S4.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A4_B000497,nan,nan,nan,facs,18_53_M,A4_B000497_B009023_S4.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A4_B000524,nan,nan,nan,facs,18_53_M,A4_B000524_B009242_S4.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A4_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A4_B000756_B007446_S4.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A4_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,A4_B000802_B009022_S4.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A4_B000927,T cell,nan,nan,facs,18_46_F,A4_B000927_B007456_S4.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A4_B001059,nan,nan,nan,facs,18_46_F,A4_B001059_B009342_S4.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A4_B001361,B cell,nan,B cell,facs,18_46_F,A4_B001361_B007505_S4.mm10-plus-0-0,female,RV,Heart
Viable,18m,A4_B002452,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,A4_B002452_B009020_S4.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A4_B002831,nan,nan,nan,facs,18_47_F,A4_B002831_B007445_S4.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A4_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,A4_B002832_B007443_S4.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A4_B002850,basal cell of epidermis,nan,nan,facs,18_47_F,A4_B002850_B007342_S4.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A4_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A4_B003262_B007459_S4.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A4_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A4_B003263_B007458_S4.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A4_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A4_B003294_B007450_S4.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A4_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A4_D045342_B009019_S4.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A4_D045382,nan,nan,nan,facs,18_45_M,A4_D045382_B009006_S4.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A5_B000235,nan,nan,nan,facs,18_53_M,A5_B000235_B007504_S5.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A5_B000497,basal cell of epidermis,nan,nan,facs,18_53_M,A5_B000497_B009023_S5.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A5_B000524,nan,nan,nan,facs,18_53_M,A5_B000524_B009242_S5.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A5_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A5_B000756_B007446_S5.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A5_B000802,nan,nan,nan,facs,18_47_F,A5_B000802_B009022_S5.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A5_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A5_B000927_B007456_S5.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A5_B001059,nan,nan,nan,facs,18_46_F,A5_B001059_B009342_S5.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A5_B001361,endothelial cell of coronary artery,nan,coronary vascular endothelial cell,facs,18_46_F,A5_B001361_B007505_S5.mm10-plus-0-0,female,RV,Heart
Viable,18m,A5_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A5_B002452_B009020_S5.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A5_B002831,nan,nan,nan,facs,18_47_F,A5_B002831_B007445_S5.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A5_B002832,nan,nan,nan,facs,18_47_F,A5_B002832_B007443_S5.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A5_B002850,basal cell of epidermis,nan,nan,facs,18_47_F,A5_B002850_B007342_S5.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A5_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A5_B003262_B007459_S5.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A5_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A5_B003263_B007458_S5.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A5_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A5_B003294_B007450_S5.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A5_D045342,nan,nan,nan,facs,18_45_M,A5_D045342_B009019_S5.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A5_D045382,nan,nan,nan,facs,18_45_M,A5_D045382_B009006_S5.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A6_B000235,nan,nan,nan,facs,18_53_M,A6_B000235_B007504_S6.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A6_B000497,nan,nan,nan,facs,18_53_M,A6_B000497_B009023_S6.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A6_B000524,nan,nan,nan,facs,18_53_M,A6_B000524_B009242_S6.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A6_B000756,nan,nan,nan,facs,18_45_M,A6_B000756_B007446_S6.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A6_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,A6_B000802_B009022_S6.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A6_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A6_B000927_B007456_S6.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A6_B001059,nan,nan,nan,facs,18_46_F,A6_B001059_B009342_S6.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A6_B001361,B cell,nan,B cell,facs,18_46_F,A6_B001361_B007505_S6.mm10-plus-0-0,female,RV,Heart
Viable,18m,A6_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A6_B002452_B009020_S6.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A6_B002831,nan,nan,nan,facs,18_47_F,A6_B002831_B007445_S6.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A6_B002832,nan,nan,nan,facs,18_47_F,A6_B002832_B007443_S6.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A6_B002850,basal cell of epidermis,nan,nan,facs,18_47_F,A6_B002850_B007342_S6.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A6_B003262,nan,nan,nan,facs,18_45_M,A6_B003262_B007459_S6.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A6_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A6_B003263_B007458_S6.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A6_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A6_B003294_B007450_S6.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A6_D045342,nan,nan,nan,facs,18_45_M,A6_D045342_B009019_S6.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A6_D045382,nan,nan,nan,facs,18_45_M,A6_D045382_B009006_S6.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A7_B000235,nan,nan,nan,facs,18_53_M,A7_B000235_B007504_S7.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A7_B000497,basal cell of epidermis,nan,nan,facs,18_53_M,A7_B000497_B009023_S7.mm10-plus-0-0,male,nan,Skin
